,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
155,1,0,0,1,1,0,1,1,0.9129,0.7555,0.3199,0.7257,0.7518,0.5083,107537.9573,15973.6387,0.7353
156,1,0,0,1,1,1,0,0,0.9127,0.7968,0.3202,0.7227,0.7523,0.5583,88430.813,16007.459,0.7313
157,1,0,0,1,1,1,0,1,0.913,0.7996,0.3209,0.7244,0.7529,0.5569,88295.2093,16007.626,0.7336
158,1,0,0,1,1,1,1,0,0.9131,0.7555,0.3201,0.7259,0.7522,0.5083,107532.9001,15973.4834,0.7355
159,1,0,0,1,1,1,1,1,0.9128,0.7555,0.3198,0.7257,0.7516,0.5083,107560.0625,15973.6641,0.7353
160,1,0,1,0,0,0,0,0,0.9105,0.7485,0.3248,0.7228,0.7531,0.5132,107329.6734,15912.6729,0.7272
161,1,0,1,0,0,0,0,1,0.9112,0.7675,0.3198,0.7264,0.7526,0.5266,101623.5855,16059.2666,0.7319
162,1,0,1,0,0,0,1,0,0.9125,0.8105,0.3251,0.7276,0.7558,0.5675,84735.7941,15861.5088,0.7331
163,1,0,1,0,0,0,1,1,0.9105,0.801,0.3182,0.7257,0.7508,0.5618,88184.9856,15990.9551,0.7294
164,1,0,1,0,0,1,0,0,0.9129,0.8087,0.3215,0.7288,0.7552,0.571,84712.801,16041.7266,0.7347
165,1,0,1,0,0,1,0,1,0.9114,0.8059,0.3196,0.7271,0.7528,0.565,86100.6531,16059.2949,0.7324
166,1,0,1,0,0,1,1,0,0.9097,0.8105,0.3171,0.7204,0.7491,0.5675,84725.2945,16007.9668,0.7214
167,1,0,1,0,0,1,1,1,0.9111,0.8105,0.3194,0.726,0.7517,0.5675,84718.6736,16007.8389,0.7298
168,1,0,1,0,1,0,0,0,0.9118,0.8087,0.3253,0.7275,0.7552,0.5699,84865.9412,15913.3477,0.7332
169,1,0,1,0,1,0,0,1,0.9108,0.7982,0.3198,0.7241,0.7518,0.5601,88915.0236,16024.6641,0.7273
