,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
178,1,0,1,1,0,0,1,0,0.9551,0.7267,0.2861,0.8212,0.8527,0.3061,101339.1778,16597.7031,0.8461
179,1,0,1,1,0,0,1,1,0.9548,0.727,0.2895,0.8198,0.8531,0.305,101360.3456,16467.3223,0.8457
180,1,0,1,1,0,1,0,0,0.956,0.7034,0.2709,0.825,0.8442,0.2934,106892.02,16974.8223,0.8526
181,1,0,1,1,0,1,0,1,0.9529,0.7031,0.2599,0.822,0.8336,0.2941,106568.2728,17000.8379,0.8484
182,1,0,1,1,0,1,1,0,0.9543,0.7133,0.2708,0.8162,0.8455,0.2952,104311.9102,17049.0156,0.842
183,1,0,1,1,0,1,1,1,0.946,0.7129,0.2569,0.8,0.8273,0.2948,104347.1674,17017.6836,0.8199
184,1,0,1,1,1,0,0,0,0.9573,0.7647,0.2763,0.8293,0.8474,0.3315,91741.1701,16738.5098,0.8513
185,1,0,1,1,1,0,0,1,0.9548,0.7654,0.2745,0.8273,0.843,0.3318,91515.5038,16705.9453,0.8494
186,1,0,1,1,1,0,1,0,0.9487,0.8154,0.2682,0.8053,0.8364,0.3875,80467.4934,16781.582,0.8241
187,1,0,1,1,1,0,1,1,0.9462,0.8158,0.2656,0.8014,0.8317,0.3871,80471.6572,16763.9258,0.8193
188,1,0,1,1,1,1,0,0,0.958,0.8647,0.2699,0.826,0.8475,0.6238,62310.0571,17024.3848,0.8462
189,1,0,1,1,1,1,0,1,0.9534,0.8647,0.2569,0.8235,0.8344,0.6245,62226.4604,17084.9531,0.8427
190,1,0,1,1,1,1,1,0,0.9496,0.8672,0.2597,0.8025,0.8339,0.634,61482.4471,17187.875,0.8206
191,1,0,1,1,1,1,1,1,0.9442,0.8672,0.2488,0.7956,0.8201,0.6344,61483.3847,17212.8652,0.8113
192,1,1,0,0,0,0,0,0,0.9551,0.6999,0.2837,0.8256,0.8467,0.2931,107529.6381,15004.7705,0.8543
193,1,1,0,0,0,0,0,1,0.9529,0.702,0.2849,0.8242,0.8441,0.2941,107045.9833,14850.333,0.8526
194,1,1,0,0,0,0,1,0,0.9528,0.7284,0.2865,0.8151,0.8493,0.3043,100887.0347,14908.8496,0.8394
195,1,1,0,0,0,0,1,1,0.9503,0.7143,0.2895,0.8132,0.8475,0.2998,104261.7904,14755.1172,0.8369
196,1,1,0,0,0,1,0,0,0.9555,0.7094,0.2756,0.8256,0.8443,0.2927,104805.9804,15302.125,0.855
197,1,1,0,0,0,1,0,1,0.9503,0.7017,0.2628,0.8182,0.8301,0.2931,107037.5894,15322.9023,0.8463
198,1,1,0,0,0,1,1,0,0.9504,0.7126,0.2765,0.8127,0.8427,0.2955,104688.8956,15246.1201,0.8382
